﻿Title:,"Table 11 - HE student enrolments by permanent address and region of HE provider"
Subtitle:,"Academic years 2014/15 to 2022/23"
Reference ID:,DT051 Table 11
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Permanent address,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2019/20 
Search:,


"","Region of HE provider"
"Permanent address","England","Wales","Scotland","Northern Ireland","Total United Kingdom"
"Aberdeenshire","445","20","8,095","10","8,570"
"Abertawe - Swansea","2,000","6,785","60","15","8,855"
"Angus","165","10","3,470","5","3,645"
"Antrim and Newtownabbey","895","40","325","3,440","4,695"
"Argyll and Bute","165","5","2,495","0","2,670"
"Armagh, Banbridge and Craigavon","1,175","60","355","5,070","6,660"
"Bath and North East Somerset","4,920","470","110","5","5,510"
"Bedford","5,095","80","75","5","5,260"
"Belfast","1,975","80","620","8,395","11,070"
"Blackburn with Darwen","4,335","55","50","5","4,445"
"Blackpool","2,715","45","35","10","2,805"
"Blaenau Gwent - Blaenau Gwent","295","1,465","5","0","1,770"
"Bournemouth, Poole and Christchurch","9,125","385","90","20","9,625"
"Bracknell Forest","2,935","120","45","5","3,100"
"Brighton and Hove","8,770","130","180","20","9,095"
"Bro Morgannwg - The Vale of Glamorgan","1,685","3,045","55","5","4,790"
"Buckinghamshire","17,895","595","345","35","18,865"
"Caerdydd - Cardiff","4,215","10,345","120","20","14,700"
"Caerffili - Caerphilly","1,000","4,015","20","5","5,035"
"Cambridgeshire","18,425","335","460","35","19,250"
"Casnewydd - Newport","1,640","3,275","30","0","4,950"
"Castell-Nedd Port Talbot - Neath Port Talbot","705","3,635","25","5","4,370"
"Causeway Coast and Glens","1,080","50","330","3,125","4,585"
"Central Bedfordshire","6,990","135","95","10","7,230"
"Cheshire East","10,270","365","220","15","10,865"
"Cheshire West and Chester","8,955","670","210","20","9,855"
"City of Aberdeen","540","25","7,585","10","8,160"
"City of Bristol","12,220","965","270","25","13,475"
"City of Derby","6,945","90","60","15","7,115"
"City of Dundee","160","10","4,870","10","5,050"
"City of Edinburgh","2,145","55","16,155","45","18,395"
"City of Glasgow","980","50","19,850","45","20,925"
