﻿Title:,"Table 11 - HE student enrolments by permanent address and region of HE provider"
Subtitle:,"Academic years 2014/15 to 2022/23"
Reference ID:,DT051 Table 11
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Permanent address,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2020/21 
Search:,


"","Region of HE provider"
"Permanent address","England","Wales","Scotland","Northern Ireland","Total United Kingdom"
"Aberdeenshire","440","25","9,130","10","9,605"
"Abertawe - Swansea","2,145","7,195","60","10","9,410"
"Angus","175","10","3,610","5","3,800"
"Antrim and Newtownabbey","950","35","300","3,815","5,100"
"Argyll and Bute","170","10","2,700","5","2,880"
"Armagh, Banbridge and Craigavon","1,190","60","345","5,560","7,160"
"Bath and North East Somerset","5,345","510","120","10","5,985"
"Bedford","5,540","90","85","5","5,720"
"Belfast","2,025","85","630","8,470","11,210"
"Blackburn with Darwen","4,610","60","60","5","4,735"
"Blackpool","2,835","45","50","5","2,935"
"Blaenau Gwent - Blaenau Gwent","305","1,605","10","0","1,920"
"Bournemouth, Poole and Christchurch","9,725","470","100","25","10,320"
"Bracknell Forest","3,205","120","50","0","3,375"
"Brighton and Hove","9,465","160","235","25","9,885"
"Bro Morgannwg - The Vale of Glamorgan","1,740","3,320","50","5","5,115"
"Buckinghamshire","18,950","650","380","35","20,015"
"Caerdydd - Cardiff","4,450","11,035","160","20","15,665"
"Caerffili - Caerphilly","1,070","4,210","20","5","5,305"
"Cambridgeshire","19,965","375","515","25","20,885"
"Casnewydd - Newport","1,720","3,605","35","0","5,360"
"Castell-Nedd Port Talbot - Neath Port Talbot","765","4,015","30","5","4,815"
"Causeway Coast and Glens","1,070","45","270","3,330","4,710"
"Central Bedfordshire","7,550","145","110","5","7,810"
"Cheshire East","11,030","370","260","15","11,675"
"Cheshire West and Chester","9,645","740","210","25","10,620"
"City of Aberdeen","545","25","8,795","15","9,380"
"City of Bristol","13,515","1,045","330","20","14,910"
"City of Derby","7,430","100","65","15","7,605"
"City of Dundee","200","15","5,045","5","5,265"
"City of Edinburgh","2,365","70","18,325","40","20,800"
"City of Glasgow","1,105","55","21,755","40","22,960"
"City of Kingston upon Hull","6,345","50","40","5","6,445"
"City of Leicester","11,430","130","100","15","11,675"
"City of Nottingham","9,610","130","95","15","9,850"
"City of Plymouth","6,945","435","95","15","7,485"
"City of Portsmouth","5,570","150","75","10","5,805"
"City of Southampton","6,295","160","65","10","6,530"
"City of Stoke-on-Trent","6,370","105","30","5","6,510"
"City of York","5,845","55","240","10","6,145"
"Clackmannanshire","85","5","1,475","0","1,565"
"Conwy - Conwy","1,780","2,325","45","5","4,155"
"Cornwall","12,135","1,040","220","30","13,425"
"County Durham","12,130","85","335","20","12,575"
"Cumbria","10,640","190","545","20","11,390"
"Darlington","3,100","30","65","5","3,195"
"Derbyshire","19,435","325","285","25","20,070"
"Derry and Strabane","1,260","55","280","4,020","5,615"
"Devon","18,670","1,715","385","35","20,800"
"Dorset","9,100","555","150","15","9,825"
"Dumfries and Galloway","380","15","3,770","5","4,170"
"East Ayrshire","115","10","3,185","5","3,310"
"East Dunbartonshire","245","10","4,865","5","5,130"
"East Lothian","300","5","3,095","10","3,415"
"East Renfrewshire","215","5","4,635","10","4,865"
"East Riding of Yorkshire","9,165","95","175","10","9,445"
"East Sussex","14,140","355","305","20","14,820"
"Essex","38,405","665","580","65","39,710"
"Falkirk","160","5","4,445","5","4,625"
"Fermanagh and Omagh","870","40","195","3,085","4,190"
"Fife","615","25","10,080","25","10,745"
"Gloucestershire","16,300","1,710","325","30","18,360"
"Greater London","381,860","6,440","6,650","670","395,620"
"Greater Manchester","88,225","1,230","1,240","135","90,830"
"Gwynedd - Gwynedd","1,265","2,590","55","10","3,920"
"Halton","3,050","85","30","5","3,170"
"Hampshire","37,185","1,670","670","50","39,570"
"Hartlepool","2,670","20","35","5","2,730"
"Herefordshire","4,235","715","100","10","5,060"
"Hertfordshire","40,275","845","725","65","41,905"
"Highland","345","20","8,110","15","8,490"
"Inverclyde","60","5","2,430","5","2,500"
"Isle of Man","1,175","45","85","20","1,325"
"Isle of Wight","3,215","95","35","0","3,350"
"Isles of Scilly","35","5","0","0","45"
"Kent","43,425","835","770","70","45,105"
"Lancashire","33,345","540","705","60","34,650"
"Leicestershire","18,775","385","215","25","19,405"
"Lincolnshire","18,920","235","275","20","19,455"
"Lisburn and Castlereagh","1,155","55","430","4,105","5,745"
"Luton","8,530","85","60","15","8,685"
"Medway","7,460","130","80","10","7,680"
"Merseyside","39,735","805","575","85","41,205"
"Merthyr Tudful - Merthyr Tydfil","240","1,555","10","0","1,805"
"Mid Ulster","710","35","180","4,290","5,210"
"Mid and East Antrim","760","35","275","3,495","4,565"
"Middlesbrough","4,470","25","40","5","4,540"
"Midlothian","150","10","2,480","5","2,645"
"Milton Keynes","10,350","185","125","15","10,675"
"Moray","210","0","3,240","5","3,455"
"Newry, Mourne and Down","1,055","55","315","5,015","6,445"
