﻿Title:,"Table 11 - HE student enrolments by permanent address and region of HE provider"
Subtitle:,"Academic years 2014/15 to 2022/23"
Reference ID:,DT051 Table 11
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Permanent address,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2015/16 
Search:,


"","Region of HE provider"
"Permanent address","England","Wales","Scotland","Northern Ireland","Total United Kingdom"
"Aberdeenshire","500","15","7,045","10","7,565"
"Abertawe - Swansea","1,845","6,335","45","10","8,235"
"Angus","170","5","3,060","5","3,240"
"Antrim and Newtownabbey","740","35","345","3,410","4,525"
"Argyll and Bute","200","5","2,535","0","2,750"
"Armagh, Banbridge and Craigavon","1,105","55","415","5,060","6,635"
"Bath and North East Somerset","4,975","415","120","5","5,515"
"Bedford","5,095","80","45","10","5,225"
"Belfast","1,875","95","590","8,840","11,405"
"Blackburn with Darwen","3,800","55","50","5","3,910"
"Blackpool","2,780","50","35","5","2,870"
"Blaenau Gwent - Blaenau Gwent","245","1,570","10","0","1,825"
"Bournemouth","4,400","130","35","15","4,580"
"Bracknell Forest","2,865","120","35","5","3,030"
"Brighton and Hove","8,385","115","135","15","8,650"
"Bro Morgannwg - The Vale of Glamorgan","1,665","2,875","40","5","4,590"
"Buckinghamshire","16,875","540","300","30","17,745"
"Caerdydd - Cardiff","4,110","9,630","105","20","13,865"
"Caerffili - Caerphilly","805","3,870","25","5","4,705"
"Cambridgeshire","17,785","315","410","30","18,540"
"Casnewydd - Newport","1,440","3,100","30","5","4,575"
"Castell-Nedd Port Talbot - Neath Port Talbot","700","4,015","25","0","4,740"
"Causeway Coast and Glens","1,020","50","320","3,425","4,815"
"Central Bedfordshire","7,155","160","85","5","7,410"
"Cheshire East","10,245","370","240","10","10,860"
"Cheshire West and Chester","8,855","710","195","10","9,770"
"City of Aberdeen","620","25","6,580","15","7,240"
"City of Bristol","11,120","875","195","15","12,205"
"City of Derby","6,525","95","50","15","6,685"
"City of Dundee","195","10","4,510","5","4,725"
"City of Edinburgh","1,955","60","15,650","40","17,710"
"City of Glasgow","1,005","70","17,570","30","18,675"
"City of Kingston upon Hull","5,430","35","35","5","5,505"
"City of Leicester","9,875","115","95","20","10,105"
"City of Nottingham","7,475","70","65","10","7,625"
"City of Plymouth","6,610","305","70","10","6,995"
"City of Portsmouth","4,815","130","45","10","5,000"
"City of Southampton","5,230","165","50","5","5,445"
"City of Stoke-on-Trent","5,470","105","25","10","5,605"
"City of York","5,670","70","185","10","5,935"
"Clackmannanshire","80","0","1,215","0","1,300"
"Conwy - Conwy","1,630","1,550","35","5","3,225"
"Cornwall","12,485","810","170","20","13,485"
"County Durham","11,530","85","320","25","11,960"
"Cumbria","10,475","180","635","25","11,310"
"Darlington","2,780","25","75","5","2,880"
"Derbyshire","17,555","340","270","25","18,195"
"Derry and Strabane","1,340","50","360","4,065","5,810"
"Devon","17,230","1,450","320","30","19,025"
"Dorset","9,570","560","150","15","10,290"
"Dumfries and Galloway","435","15","3,600","5","4,060"
"East Ayrshire","105","5","2,905","5","3,020"
"East Dunbartonshire","255","10","4,505","10","4,775"
"East Lothian","260","10","2,615","5","2,890"
"East Renfrewshire","210","10","4,315","0","4,535"
"East Riding of Yorkshire","8,765","110","160","10","9,050"
"East Sussex","12,930","265","210","25","13,430"
"Essex","34,135","580","455","60","35,230"
"Falkirk","155","5","3,445","5","3,610"
"Fermanagh and Omagh","945","40","240","2,850","4,070"
"Fife","560","20","8,725","15","9,315"
"Gloucestershire","14,900","1,645","300","30","16,875"
"Greater London","318,040","3,310","4,650","645","326,640"
"Greater Manchester","74,635","1,165","1,050","115","76,960"
"Gwynedd - Gwynedd","1,125","2,180","50","5","3,360"
"Halton","2,815","90","35","5","2,945"
"Hampshire","33,610","1,440","530","55","35,635"
"Hartlepool","2,400","10","40","5","2,455"
"Herefordshire","3,990","670","75","5","4,740"
"Hertfordshire","35,280","675","560","50","36,565"
"Highland","385","20","7,645","10","8,060"
"Inverclyde","85","5","2,065","0","2,160"
"Isle of Man","1,235","65","75","20","1,395"
"Isle of Wight","3,120","95","30","5","3,250"
"Isles of Scilly","35","5","0","0","40"
"Kent","38,645","695","550","40","39,930"
"Lancashire","31,175","575","775","55","32,575"
"Leicestershire","17,305","355","240","20","17,925"
"Lincolnshire","17,485","230","265","25","18,005"
"Lisburn and Castlereagh","1,065","35","425","3,945","5,470"
"Luton","7,135","60","30","5","7,235"
"Medway","6,665","75","65","5","6,810"
"Merseyside","37,295","900","565","80","38,835"
"Merthyr Tudful - Merthyr Tydfil","225","1,495","5","0","1,725"
"Mid Ulster","625","30","185","3,920","4,755"
"Mid and East Antrim","760","40","335","3,220","4,350"
"Middlesbrough","3,905","10","40","5","3,960"
"Midlothian","130","5","1,910","0","2,045"
"Milton Keynes","8,290","165","90","10","8,550"
"Moray","190","5","3,100","0","3,295"
"Newry, Mourne and Down","1,170","80","345","4,860","6,455"
"Norfolk","18,140","275","315","20","18,745"
"North Ayrshire","130","10","3,215","5","3,360"
"North Down and Ards","1,165","55","575","3,495","5,285"
"North East Lincolnshire","2,925","45","35","0","3,000"
"North Lanarkshire","220","10","8,505","5","8,740"
"North Lincolnshire","3,290","45","50","0","3,385"
"North Somerset","4,685","525","75","10","5,295"
"North Yorkshire","15,940","235","645","30","16,850"
"Northamptonshire","18,565","405","205","40","19,215"
"Northumberland","7,235","80","555","25","7,890"
"Nottinghamshire","18,960","305","215","30","19,510"
"Orkney Islands","40","0","740","0","780"
"Oxfordshire","20,810","845","495","30","22,180"
"Pen-Y-Bont Ar Ogwr - Bridgend","960","3,600","20","5","4,585"
"Perth and Kinross","385","15","5,340","0","5,740"
"Peterborough","4,660","55","55","5","4,775"
"Poole","3,425","155","35","10","3,625"
"Powys - Powys","1,770","2,505","45","5","4,320"
"Reading","4,280","140","65","10","4,495"
"Redcar and Cleveland","3,545","10","55","5","3,620"
"Renfrewshire","195","5","5,250","5","5,450"
"Rhondda, Cynon, Taff - Rhondda, Cynon, Taff","1,040","5,525","30","5","6,600"
"Rutland","1,100","20","35","0","1,160"
"Scottish Borders","340","10","2,905","5","3,260"
"Shetland Islands","35","5","810","0","850"
"Shropshire","7,145","945","135","10","8,240"
"Sir Benfro - Pembrokeshire","1,030","2,400","25","0","3,455"
"Sir Ceredigion - Ceredigion","735","1,890","35","0","2,660"
"Sir Ddinbych - Denbighshire","1,455","1,255","40","0","2,750"
"Sir Fynwy - Monmouthshire","1,540","1,750","45","5","3,345"
"Sir Gaerfyrddin - Carmarthenshire","1,360","4,975","30","5","6,370"
"Sir Y Fflint - Flintshire","2,510","1,790","40","5","4,345"
"Sir Ynys Môn - Isle of Anglesey","705","1,225","15","0","1,945"
"Slough","4,405","60","25","10","4,505"
"Somerset","11,340","995","220","25","12,575"
"South Ayrshire","150","5","3,390","5","3,550"
"South Gloucestershire","6,320","675","80","15","7,090"
"South Lanarkshire","320","10","8,965","10","9,310"
"South Yorkshire","29,805","330","415","25","30,575"
"Southend-on-Sea","4,185","90","55","5","4,335"
"Staffordshire","21,630","695","245","25","22,595"
"Stirling","250","5","2,985","5","3,245"
"Stockton-on-Tees","5,530","25","105","10","5,670"
"Suffolk","17,680","305","285","25","18,295"
"Surrey","34,070","985","670","55","35,780"
"Swindon","4,455","360","50","5","4,870"
