﻿Title:,"Table 11 - HE student enrolments by permanent address and region of HE provider"
Subtitle:,"Academic years 2014/15 to 2022/23"
Reference ID:,DT051 Table 11
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Permanent address,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2022/23 
Search:,


"","Region of HE provider"
"Permanent address","England","Wales","Scotland","Northern Ireland","Total United Kingdom"
"Aberdeenshire","435","20","8,595","10","9,055"
"Abertawe - Swansea","2,175","6,940","65","20","9,200"
"Angus","150","10","3,485","5","3,655"
"Antrim and Newtownabbey","910","45","250","4,155","5,360"
"Argyll and Bute","170","15","2,540","5","2,730"
"Armagh, Banbridge and Craigavon","1,145","80","280","5,500","7,005"
"Bath and North East Somerset","5,395","505","160","15","6,075"
"Bedford","6,115","115","80","0","6,310"
"Belfast","2,075","110","665","8,215","11,065"
"Blackburn with Darwen","4,645","50","60","5","4,760"
"Blackpool","2,710","55","35","0","2,800"
"Blaenau Gwent - Blaenau Gwent","295","1,450","10","10","1,760"
"Bournemouth, Poole and Christchurch","9,925","565","115","20","10,625"
"Bracknell Forest","3,360","135","55","0","3,555"
"Brighton and Hove","9,610","175","235","15","10,035"
"Bro Morgannwg - The Vale of Glamorgan","1,825","3,105","55","15","5,000"
"Buckinghamshire","19,005","725","340","40","20,110"
"Caerdydd - Cardiff","4,690","10,805","170","25","15,690"
"Caerffili - Caerphilly","1,210","3,990","30","5","5,230"
"Cambridgeshire","20,340","380","575","35","21,330"
"Casnewydd - Newport","1,795","3,460","40","5","5,305"
"Castell-Nedd Port Talbot - Neath Port Talbot","870","3,700","25","5","4,600"
"Causeway Coast and Glens","940","40","190","3,270","4,445"
"Central Bedfordshire","7,875","165","105","5","8,150"
"Cheshire East","11,335","375","260","10","11,985"
"Cheshire West and Chester","9,545","735","195","25","10,500"
"City of Aberdeen","565","25","8,345","20","8,955"
"City of Bristol","14,040","1,055","300","15","15,410"
"City of Derby","8,180","165","65","10","8,420"
"City of Dundee","205","10","5,150","5","5,375"
"City of Edinburgh","2,295","65","17,505","35","19,900"
"City of Glasgow","1,160","45","20,925","20","22,150"
"City of Kingston upon Hull","6,000","45","45","5","6,090"
"City of Leicester","12,295","205","75","15","12,590"
"City of Nottingham","10,890","170","105","5","11,170"
"City of Plymouth","6,460","490","70","15","7,035"
"City of Portsmouth","6,175","185","70","15","6,440"
"City of Southampton","6,750","210","65","5","7,030"
"City of Stoke-on-Trent","7,160","140","30","10","7,340"
"City of York","5,555","70","220","5","5,850"
"Clackmannanshire","75","5","1,450","0","1,530"
"Conwy - Conwy","1,670","2,150","55","5","3,880"
"Cornwall","11,820","1,185","205","25","13,235"
"County Durham","11,605","120","330","25","12,080"
"Cumbria","10,410","205","495","30","11,140"
"Darlington","3,050","25","80","5","3,160"
"Derbyshire","19,465","370","250","25","20,110"
"Derry and Strabane","1,105","45","220","3,965","5,335"
"Devon","18,315","1,940","375","35","20,670"
"Dorset","8,565","705","150","10","9,425"
"Dumfries and Galloway","395","15","3,605","5","4,025"
"East Ayrshire","100","10","3,050","0","3,160"
"East Dunbartonshire","245","5","4,690","5","4,950"
"East Lothian","330","10","3,115","10","3,460"
"East Renfrewshire","195","5","4,575","5","4,780"
"East Riding of Yorkshire","8,480","100","145","15","8,740"
