﻿Title:,"Table 11 - HE student enrolments by permanent address and region of HE provider"
Subtitle:,"Academic years 2014/15 to 2022/23"
Reference ID:,DT051 Table 11
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Permanent address,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2016/17 
Search:,


"","Region of HE provider"
"Permanent address","England","Wales","Scotland","Northern Ireland","Total United Kingdom"
"Aberdeenshire","495","15","7,220","10","7,740"
"Abertawe - Swansea","1,835","6,460","45","10","8,350"
"Angus","155","5","3,195","5","3,365"
"Antrim and Newtownabbey","770","30","360","3,345","4,500"
"Argyll and Bute","185","5","2,585","5","2,775"
"Armagh, Banbridge and Craigavon","1,170","60","410","4,960","6,600"
"Bath and North East Somerset","4,995","445","130","5","5,570"
"Bedford","5,295","85","50","10","5,435"
"Belfast","1,995","95","590","8,560","11,245"
"Blackburn with Darwen","3,955","65","55","5","4,075"
"Blackpool","2,810","50","45","5","2,905"
"Blaenau Gwent - Blaenau Gwent","260","1,440","5","0","1,710"
"Bournemouth","4,560","145","35","10","4,750"
"Bracknell Forest","2,970","130","50","5","3,160"
"Brighton and Hove","8,705","130","145","25","9,005"
"Bro Morgannwg - The Vale of Glamorgan","1,700","2,815","45","5","4,570"
"Buckinghamshire","17,335","575","315","30","18,255"
"Caerdydd - Cardiff","4,055","9,625","120","20","13,820"
"Caerffili - Caerphilly","930","3,720","30","5","4,685"
"Cambridgeshire","18,205","320","430","30","18,980"
"Casnewydd - Newport","1,565","2,890","25","5","4,490"
"Castell-Nedd Port Talbot - Neath Port Talbot","675","3,920","15","5","4,615"
"Causeway Coast and Glens","1,085","50","330","3,215","4,685"
"Central Bedfordshire","7,170","155","90","10","7,430"
"Cheshire East","10,365","375","230","5","10,970"
"Cheshire West and Chester","8,955","700","200","15","9,870"
"City of Aberdeen","580","30","6,830","15","7,455"
"City of Bristol","11,595","940","225","20","12,775"
"City of Derby","6,765","85","45","15","6,905"
"City of Dundee","210","10","4,635","10","4,860"
"City of Edinburgh","2,035","55","15,960","45","18,095"
"City of Glasgow","1,060","60","18,130","35","19,285"
"City of Kingston upon Hull","5,605","30","55","0","5,690"
"City of Leicester","10,190","120","100","25","10,440"
"City of Nottingham","7,895","85","65","10","8,060"
"City of Plymouth","6,595","295","70","10","6,975"
"City of Portsmouth","5,045","105","55","5","5,215"
"City of Southampton","5,295","165","50","5","5,515"
"City of Stoke-on-Trent","5,545","95","30","10","5,680"
"City of York","5,670","80","200","10","5,955"
"Clackmannanshire","75","0","1,210","5","1,290"
"Conwy - Conwy","1,700","2,045","35","0","3,785"
"Cornwall","11,915","860","165","20","12,955"
"County Durham","11,560","80","350","25","12,015"
