﻿Title:,"Table 11 - HE student enrolments by permanent address and region of HE provider"
Subtitle:,"Academic years 2014/15 to 2022/23"
Reference ID:,DT051 Table 11
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-11.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Permanent address,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2017/18 
Search:,


"","Region of HE provider"
"Permanent address","England","Wales","Scotland","Northern Ireland","Total United Kingdom"
"Aberdeenshire","495","20","7,520","10","8,045"
"Abertawe - Swansea","1,920","6,515","45","15","8,495"
"Angus","160","5","3,310","10","3,485"
"Antrim and Newtownabbey","830","35","360","3,380","4,605"
"Argyll and Bute","155","5","2,605","0","2,770"
"Armagh, Banbridge and Craigavon","1,245","60","400","4,930","6,635"
"Bath and North East Somerset","5,015","450","125","5","5,600"
"Bedford","5,240","85","90","5","5,425"
"Belfast","2,115","80","605","8,520","11,320"
"Blackburn with Darwen","4,030","65","55","5","4,160"
"Blackpool","2,810","55","40","10","2,915"
"Blaenau Gwent - Blaenau Gwent","280","1,385","5","5","1,675"
"Bournemouth","4,535","145","45","15","4,740"
"Bracknell Forest","2,930","115","50","5","3,100"
"Brighton and Hove","8,680","115","150","15","8,960"
"Bro Morgannwg - The Vale of Glamorgan","1,765","2,760","55","10","4,590"
"Buckinghamshire","17,585","585","360","40","18,565"
"Caerdydd - Cardiff","4,050","9,800","135","20","14,005"
"Caerffili - Caerphilly","1,010","3,775","30","5","4,810"
"Cambridgeshire","18,100","340","475","30","18,950"
"Casnewydd - Newport","1,625","2,970","30","0","4,625"
"Castell-Nedd Port Talbot - Neath Port Talbot","685","3,480","20","5","4,190"
"Causeway Coast and Glens","1,135","55","355","3,090","4,630"
"Central Bedfordshire","6,985","150","95","10","7,240"
"Cheshire East","10,360","375","225","15","10,970"
"Cheshire West and Chester","8,925","700","220","10","9,855"
"City of Aberdeen","580","25","7,105","10","7,720"
"City of Bristol","11,955","920","240","20","13,130"
"City of Derby","6,875","90","55","10","7,030"
"City of Dundee","205","15","4,645","10","4,875"
"City of Edinburgh","2,070","55","15,985","45","18,155"
"City of Glasgow","1,085","45","18,645","30","19,805"
"City of Kingston upon Hull","5,465","25","65","5","5,560"
"City of Leicester","10,615","115","100","20","10,850"
"City of Nottingham","8,120","85","70","10","8,280"
"City of Plymouth","6,550","310","80","15","6,950"
"City of Portsmouth","4,965","110","55","10","5,140"
"City of Southampton","5,380","160","50","10","5,605"
"City of Stoke-on-Trent","5,545","85","25","10","5,665"
"City of York","5,610","70","210","15","5,905"
"Clackmannanshire","60","0","1,245","0","1,310"
"Conwy - Conwy","1,745","2,100","40","5","3,885"
"Cornwall","11,825","870","180","20","12,900"
"County Durham","11,445","80","370","25","11,920"
"Cumbria","10,105","190","575","15","10,880"
"Darlington","2,900","25","60","5","2,995"
"Derbyshire","18,045","345","290","35","18,715"
"Derry and Strabane","1,380","60","365","3,880","5,685"
"Devon","17,650","1,435","320","60","19,465"
"Dorset","9,615","585","150","20","10,375"
"Dumfries and Galloway","380","15","3,510","10","3,910"
"East Ayrshire","95","5","3,055","5","3,165"
"East Dunbartonshire","240","5","4,540","10","4,795"
"East Lothian","275","10","2,705","5","2,990"
"East Renfrewshire","205","0","4,375","5","4,585"
"East Riding of Yorkshire","8,850","85","175","10","9,120"
"East Sussex","13,245","290","265","30","13,830"
"Essex","34,515","560","520","75","35,670"
"Falkirk","155","5","3,710","5","3,880"
"Fermanagh and Omagh","945","40","235","2,750","3,970"
"Fife","570","20","9,025","15","9,630"
"Gloucestershire","15,150","1,700","305","35","17,190"
"Greater London","338,205","4,230","5,425","635","348,495"
"Greater Manchester","76,190","1,165","1,130","135","78,625"
"Gwynedd - Gwynedd","1,235","2,430","40","5","3,715"
"Halton","2,775","85","40","0","2,900"
"Hampshire","34,275","1,615","575","60","36,530"
